Book Title,Author,ISBN,Floor,Aisle,Bay,Call Number,Available Copies
Introduction to Algorithms,Cormen et al.,978-0262033848,2,B,14,QA76.6 .C66,3
Clean Code,Robert C. Martin,978-0132350884,2,B,5,QA76.73 .C66,2
The Pragmatic Programmer,Hunt & Thomas,978-0135957059,2,B,6,QA76.6 .H86,1
Artificial Intelligence A Modern Approach,Russell & Norvig,978-0134610993,2,B,9,Q335 .R86,2
Database System Concepts,Silberschatz et al.,978-0078022159,2,B,8,QA76.9 .D3 S55,1
Operating System Concepts,Galvin et al.,978-1119320913,2,B,7,QA76.76 .O63 G35,3
Computer Networks,Tanenbaum,978-0132126953,2,B,10,TK5105.5 .T36,2
The C Programming Language,Kernighan & Ritchie,978-0131103627,2,B,3,QA76.73 .C15 K47,4
Python Crash Course,Eric Matthes,978-1593279288,2,B,4,QA76.73 .P98 M38,2
Design Patterns,Gang of Four,978-0201633610,2,B,11,QA76.64 .G36,1
Sapiens A Brief History of Humankind,Yuval Noah Harari,978-0062316097,3,C,2,CB151 .H37,3
The Great Gatsby,F. Scott Fitzgerald,978-0743273565,3,C,8,PS3511.I9 G7,2
Pride and Prejudice,Jane Austen,978-0141439518,3,C,9,PR4034 .P7,1
Thinking Fast and Slow,Daniel Kahneman,978-0374533557,3,D,1,BF441 .K34,2
Molecular Biology of the Cell,Alberts et al.,978-0393884821,4,E,3,QH581.2 .M65,2
Gray's Anatomy,Henry Gray,978-0702052309,4,E,7,QM23.2 .G73,1
Journal of Power Sources (2023 Vol),Various,N/A,4,F,2,TK2896 .J68,1
