Title,Author,Rack,Copies,Subject
Harry Potter,J.K. Rowling,A1,5,Story Book
The Hobbit,J.R.R. Tolkien,A2,1,Story Book
Alice in Wonderland,Lewis Carroll,A3,4,Story Book
Peter Pan,J.M. Barrie,A4,4,Story Book
"The Lion, the Witch and the Wardrobe",C.S. Lewis,A5,1,Story Book
Charlie and the Chocolate Factory,Roald Dahl,A6,4,Story Book
Matilda,Roald Dahl,B1,5,Story Book
Winnie the Pooh,A.A. Milne,B2,3,Story Book
The Wind in the Willows,Kenneth Grahame,B3,4,Story Book
Charlottes Web,E.B. White,B4,5,Story Book
A Wrinkle in Time,Madeleine LEngle,B5,3,Story Book
The Secret Garden,Frances Hodgson Burnett,B6,1,Story Book
Where the Wild Things Are,Maurice Sendak,C1,3,Story Book
The Little Prince,Antoine de Saint-Exupery,C2,5,Story Book
The Tale of Peter Rabbit,Beatrix Potter,C3,3,Story Book
Green Eggs and Ham,Dr. Seuss,C4,2,Story Book
The Cat in the Hat,Dr. Seuss,C5,2,Story Book
Goodnight Moon,Margaret Wise Brown,C6,2,Story Book
The Very Hungry Caterpillar,Eric Carle,D1,5,Story Book
The Giving Tree,Shel Silverstein,D2,2,Story Book
Corduroy,Don Freeman,D3,4,Story Book
Madeline,Ludwig Bemelmans,D4,5,Story Book
The Snowy Day,Ezra Jack Keats,D5,3,Story Book
Make Way for Ducklings,Robert McCloskey,D6,2,Story Book
